Lang	WordExt
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	1
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	2
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	3
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	4
BP	5
BP	5
BP	5
BP	5
BP	5
BP	5
BP	5
BP	5
BP	6
BP	6
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
BE	1
